route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
R23,201072714888219,14888219,,10219,0,,
R6,200907514889670,14889670,,10624,0,,
R27,200969814887584,14887584,,901241,0,,
RE6,201022714885139,14885139,,2606,0,,
XP1,201022114890275,14890275,,900362,0,,
R36,200938614889824,14889824,,10668,0,,
S6,200942614902557,14902557,,24641,0,,
R31,201089514885613,14885613,,10095,0,,
S9,201070014888196,14888196,,931442,0,,
S9,201014414890231,14890231,,24976,0,,
R28,200991914890116,14890116,,2949,0,,
R27,200821114883738,14883738,,902218,0,,
XP1,200969714889989,14889989,,900332,0,,
XP2,201084614890587,14890587,,910333,0,,
S1,200958214889940,14889940,,24023,0,,
RE8,200849214889427,14889427,,2829,0,,
S6,201144114902582,14902582,,24646,0,,
S13,200851514889376,14889376,,24338,0,,
XP2,201089314890621,14890621,,2975,0,,
S1,201074614888232,14888232,,24116,0,,
RE13,201056714885368,14885368,,2360,0,,
RE13,201008914890201,14890201,,2354,0,,
R21,201185714888910,14888910,,25315,0,,
XP1,200875114889496,14889496,,900315,0,,
S4,201183214891075,14891075,,900747,0,,
RE13,200994314887770,14887770,,2317,0,,
R22,200997614897484,14897484,,902030,0,,
R2,201105914888427,14888427,,22660,0,,
R8,201149514890905,14890905,,10844,0,,
R6,200884914889558,14889558,,10643,0,,
S50,201129514890805,14890805,,25585,0,,
R36,200818014886616,14886616,,10681,0,,
R3,200959614887516,14887516,,901950,0,,
S5,200853814886836,14886836,,24545,0,,
S11,201103514890694,14890694,,25067,0,,
RE6,201123014890785,14890785,,2624,0,,
XP1,200920714889731,14889731,,900326,0,,
R3,200818214889226,14889226,,914921,0,,
S4,201169714886168,14886168,,902744,0,,
XP2,200933214889782,14889782,,910343,0,,
R28,200984914890057,14890057,,910349,0,,
S7,200943314889857,14889857,,24760,0,,
RE2,200830414889284,14889284,,2201,0,,
S13,200858014889430,14889430,,24327,0,,
S40,200830714886701,14886701,,25420,0,,
RE11,200977014890020,14890020,,2166,0,,
XP2,200838614889319,14889319,,910358,0,,
S13,201101814890682,14890682,,24365,0,,
R5,200857714889428,14889428,,10528,0,,
S11,201101514890680,14890680,,25082,0,,
R21,201087614890607,14890607,,25337,0,,
R17,201068814890510,14890510,,900132,0,,
S9,200913014887214,14887214,,24967,0,,
S6,200896514902552,14902552,,24640,0,,
RE6,201124414890795,14890795,,2622,0,,
S5,200950214887452,14887452,,24524,0,,
XP2,201187714891108,14891108,,2954,0,,
R3,200986414890072,14890072,,910988,0,,
R28,201089214890620,14890620,,2913,0,,
R17,200967614889975,14889975,,900191,0,,
S40,200978214887634,14887634,,25464,0,,
S3,201118014890760,14890760,,900844,0,,
S2,200797414901887,14901887,,24220,0,,
